word,pos,meaning,example,match_id,is_same
a,d,"nông cụ gồm hai lưỡi cắt tra vào cán dài, để cắt cỏ hay gặt lúa",#rèn một lưỡi a bằng ba lưỡi hái (tng),oewn-04165311-n,True
a bảo,d,"viên quan có nhiệm vụ nuôi nấng, dạy dỗ con cái của vua chúa trong triều","#""Thịnh Vương rất tin, sai Huy làm a bảo cho thế tử, ngày đêm ở luôn bên cạnh thế tử (...)"" (HLNTC)",oewn-09637714-n,False
a di đà,d,A Di Đà Phật [nói tắt],#nam mô A Di Đà,oewn-09556053-n,False
a di đà phật,d,Phật A Di Đà [vị Phật lớn nhất ở Cõi Cực Lạc; người theo đạo Phật dùng để niệm Phật hoặc chào nhau],"#na mô A Di Đà Phật! #""A di đà Phật! Nắng này mà đi từ làng trên xuống tận đây lấy nước, cụ Sáu nhà có công quá."" (Nguyễn Tuân; 35)",oewn-09556053-n,False
a giao,d,"keo chế từ da lừa hay da trâu, bò, dùng làm thuốc hoặc để dán gỗ",,oewn-14727351-n,True
a hoàn,d,người đầy tớ gái trong xã hội phong kiến Trung Quốc thời xưa [tóc búi làm hai búi hình cành cây chẽ hai nhánh chữ a '',"#""A hoàn một lũ nối theo, Quạt tha thướt phẩy, lò dìu dặt mang."" (NĐM)",oewn-10302369-n,True
a phiến,d,thuốc phiện,,oewn-03856486-n,True
ả,d,người con gái,"#""Đầu lòng hai ả tố nga, Thuý Kiều là chị em là Thuý Vân."" (TKiều)",oewn-10149362-n,False
ả,d,từ dùng để chỉ người phụ nữ nào đó với ý coi thường,"#mấy ả gái điếm #""Thời Mộng còn con gái, ả đã thành thạo trong những cuộc chơi ngông cuồng (...)"" (Nguyễn Kiên; 3)",oewn-10002403-n,False
ả,d,chị,"#tại anh tại ả, tại cả đôi bên (tng)",oewn-10622393-n,True
ả đào,d,người phụ nữ làm nghề hát ca trù trong các nhà hát tư thời trước,"#""(...) chàng bảo vợ bày tiệc long trọng khoản đãi, có khi gọi cả ả đào đến hát nữa."" (Khái Hưng; 2)",oewn-10643799-n,False
ả đầu,d,ả đào,"#""(...) mấy người ả đầu bận áo xanh, áo tím, áo hồng đi lại nhộn nhịp để rót nước, để châm lửa và để vâng dạ phục tòng."" (Nguyễn Đình Lạp; 2)",oewn-10601959-n,True
ả hoàn,d,a hoàn,"#""Ả hoàn trên dưới dạ ran, Dẫu rằng trăm miệng khôn phân lẽ nào!"" (TKiều)",oewn-10302369-n,False
á hậu,d,"người chiếm giải nhì, sau hoa hậu [trong một cuộc thi sắc đẹp]",#đoạt danh hiệu á hậu thế giới,oewn-10562614-n,True
á khôi,d,người đỗ thứ hai trong một khoa thi thời phong kiến [thường nói về thi hương],,oewn-10562614-n,False
á khôi,d,người con gái chiếm giải nhì trong một cuộc thi người đẹp,,oewn-10562614-n,False
